Timestamp,Score,What's your gender?,What is your occupation?,How do the bathroom doors make you feel? ,How do you interact with restroom stall doors?,Are bathroom stall door locks sufficient? What do you like or dislike about them?,How do you feel about how a bathroom door swings (how it opens and closes)? What do you like or dislike about it?,Do public restroom stall doors make you feel secure? What do you like or dislike?,Bathroom stalls are intuitive to show if it's occupied or not.,"Have you ever decided not to use a restroom because of the stall door? If so, why?",How do you feel about the bathroom door gaps on the sides and on the top and bottom? ,What do you want from a bathroom door? ,What would you improve about bathroom doors? ,Bathroom doors help me achieve my goals
7/7/2025 14:54:47,,Male,Full Time Student,Fine,"Lock them when I’m going #2, #1 depends on how late I am to class","I think they’re fine, but I wish the cracks between doors allowed for more privacy",No preference,I wish the cracks were smaller,TRUE,"Yeah if it was completely broken and could not lock, and there was an adjacent, locking alternative",Dislike,Covers at the vertical cracks,See above,No preference
7/7/2025 14:54:52,,Male,Student,Lacking a sense of privacy sometimes,"Open and close them, hope no one can see through them","Yes but many are broken, especially around UCSD campus.","I don't mind, but would prefer sliding doors although I know they are more expensive.","Depends on the quality, usually not. Dislike the open bottom part and crack where someone can see me.",FALSE,Because it had a broken lock.,"Dislike, feels like I don't have the privacy I need.",Full closure and safety.,Hide the gaps on the sides.,TRUE
7/7/2025 15:55:40,,Male,Baller,Small,I open them and close them,They chill long as they good they good,Oh fs they swing ,Yah they cool when they got locks on them ,FALSE,Because if I didn’t get to the bathroom I’d poop my pants ,Hopefully they don’t have cracks for people see my snake,Clean color,Anything that doesn’t make them feel secure or safe,TRUE
7/7/2025 18:04:25,,Female,Mental Health Therapist ,Uncomfortable if the gap between the doors is wide,,Yes. I like when they feel heavy duty ,I often struggle when they open towards the toilet as it is more difficult to come in and out of ,"Yes, if the gaps between the doors are not wide to where it feels others can easily look through ",FALSE,No,"I dislike when gaps are wide. At the bottom, I appreciate when you can at least see if someone is there or not. I think they should be tall enough for people on the taller side ",Security,Gaps ,TRUE
7/7/2025 18:27:57,,Male,Student,Good,Close and open,Yes no one break in yet,They are fine. I like how you can't see through it.,I don't like how people can see through little cracks.,FALSE,No,Should be smaller,Privacy,Smaller holes,FALSE
7/7/2025 18:31:29,,Male,Student,Indifferent,I open and close them when I use the restroom,"Most are yes. I only dislike them if they don't work, but most of the latches I've seen are adequate",I don't like it when they swing in as it makes going into the toilet nasty. Swinging out is better,"Not particularly as there's a large gap underneath, but I kind of understand that they do it for safety reasons. Indifferent to this I guess",FALSE,Only if there was something nasty on it,"Makes me feel less comfortable or private, but I understand they do it for safety reasons so it's not the biggest deal","Clean, works as intended",Always swing out,FALSE
7/7/2025 18:33:02,,Prefer not to say.,Property manager,Better privacy and security,Close and lock,Not secure enough,Prefer the door to swing out,"Somewhat secure, but still can be seen through",Sometimes shows occupied,"
No",Too much gap ,"
More privacy and security",Seal the gap and better lock,TRUE
7/7/2025 18:39:43,,Female,Accountant,Dirty,Not to touch any part other than the door lock,"Yes, the door should be taller and the hook should be in the middle so people can’t grab the handbag from outside",The doors should swing out because swinging doors in often leaves no room inside,Yes,TRUE,"Yes, if the door is broken and i can hold it",The gaps can be narrower,Tall with secured lock and narrow gaps,Tall with secured lock and narrower gaps,TRUE
7/7/2025 18:55:12,,Female,Principal ,Secure ,"I shove it, shake its hand, use it for all it’s worth, leave it & never think about it again. ",Yes. I like that it keeps the door closed & I don’t have to stretch from the toilet to the door trying not to sprinkle my tinkle all over the floor. ,"I appreciate that the door swings. I’d hate to have to crawl under it or catapult over it, especially when I really need to get to the toilet. Having it pull up into the ceiling or disappear into the floor seems ‘extra’.",Yeah. I like the privacy the door provides. I’d definitely prefer having a door over no door. ,"Usually if the door is closed, it’s occupied. Occasionally I have to look for feet. No big deal. ","If the door was empty but the door was closed & locked, I definitely didn’t use the toilet. It’s just too much effort (and gross) to crawl on the floor to get in. And let’s face it, I’m too old to climb over. ","I like it best when the gaps are minimal. But, I don’t lose sleep over the size over the gaps in restroom stall doors. ","Privacy. If it did the dishes & put away the laundry, that would be a true bonus. I might pay extra for that. ",I would make it so it’s impossible for a stall door to have a broken latch  I’d also make sure doors have hooks on them to hang my bag. ,"Uh, is this a trick question? If my goal is to pee, then yes the door helps me achieve privacy. "
7/7/2025 19:53:24,,Male,e-commerce,They're a little gross and I dislike touching them with my bare hands.,"I generally try to not touch the areas that probably have a lot of bacteria and stains, and I use paper towels or toilet paper to open stall doors when available.","Yes, I mainly dislike how dirty they are but the security provided is proficient","I dislike bathroom doors that close inwards into the stall, while I understand how it's necessary so you don't wack someone walking around outside it makes the stall really cramped during the door opening process and you tend to touch things in the stall you'd rather not touch during the process.","Somewhat, I wish that there were not gaps everywhere between the door itself and the walls surrounding it, as there must be better designs that help keep your privacy without announcing that you are using the restroom to everyone else. ",FALSE,Only if the door lock is broken I would abstain.,"Seems like a design oversight and frankly weird, it would not be that hard to extend the stall walls so that they cover everything and fill the gaps. If it is a ventilation issue they can just provide one to every stall. ","Security and privacy, I should not be able to see people walking around outside and they should not have to wonder if a stall is occupied or not. When I need to use a stall I often bend down to check under the stalls just to make sure that the stall I'm going towards does not have an occupant (which is also weird since you're looking at some random person's hairy legs while they have a shit). ","I would add a mechanism that displays whether a stall is occupied or not using green and red indicators, which would help prevent and awkward encounters of people try to use stalls that are already occupied. I would also fill in the gaps in the wall as I think it's very weird I can see out of the stall and other people can peer in at me as well.",?
7/7/2025 19:54:59,,Female,student ,awesome ,i open and close them,i like that they are strong ,"everytime it swings, i get a tingle in my toes ",yes! but sometimes they are dirty ,TRUE,"not really. if i have to go, i have to go!",i feel they are good,"durable, not transparent, trustworthy, caring ",allow it to give me the best company while i am doing my stuff.,TRUE
7/7/2025 20:10:09,,Female,student,"they are okay, ",I open and close them,"sometimes they are good, sometimes when they are too old, they can be hard to lock. When they are broken, the doors may not close. ",sometimes it squeaks and creaks but its fine,sometimes they do. Sometimes the gaps between the door area little too big and I feel like people can see through them.,TRUE,the door may not close or lock properly,sometimes they can be too big and people can see or come through them.,I want to feel safe or secure like no one will see through them.,the locks and the door gaps on the sides and the top and the bottom of how tall they are.,TRUE
